image,subject_set,site,veg_type,location,latitude,longitude,elevation
./masked_images/dukehw/2014/dukehw_2014_01_04_120110_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_03_30_120110_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_07_15_120111_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2013/dukehw_2013_10_14_120111_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2013/dukehw_2013_08_24_120109_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_09_04_120110_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2013/dukehw_2013_10_03_120111_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_01_11_120108_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_05_23_120111_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2013/dukehw_2013_07_22_120109_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_09_07_120110_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_03_20_120110_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_08_04_120111_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_05_14_120111_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_07_17_120111_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_02_27_120110_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_07_20_120109_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2013/dukehw_2013_11_15_120110_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_10_29_120110_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_09_29_120109_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/imcrktussock/2012/imcrktussock_2012_11_04_120611_masked_GR0001.jpg,GR_masked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./masked_images/imcrktussock/2012/imcrktussock_2012_09_12_120609_masked_GR0001.jpg,GR_masked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./masked_images/imcrktussock/2014/imcrktussock_2014_01_31_120612_masked_GR0001.jpg,GR_masked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./masked_images/imcrktussock/2013/imcrktussock_2013_07_14_120610_masked_GR0001.jpg,GR_masked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./masked_images/imcrktussock/2013/imcrktussock_2013_09_04_120615_masked_GR0001.jpg,GR_masked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./masked_images/imcrktussock/2014/imcrktussock_2014_04_14_120611_masked_GR0001.jpg,GR_masked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./masked_images/imcrktussock/2014/imcrktussock_2014_09_04_120612_masked_GR0001.jpg,GR_masked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./masked_images/imcrktussock/2014/imcrktussock_2014_07_21_120612_masked_GR0001.jpg,GR_masked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./masked_images/imcrktussock/2012/imcrktussock_2012_10_14_130609_masked_GR0001.jpg,GR_masked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
