image,subject_set,site,veg_type,location,latitude,longitude,elevation
./masked_images/dukehw/2014/dukehw_2014_01_04_120110_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_03_30_120110_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw/2014/dukehw_2014_07_15_120111_masked_DB0001.jpg,DB_masked,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/imcrktussock/2012/imcrktussock_2012_11_04_120611_masked_GR0001.jpg,GR_masked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./masked_images/imcrktussock/2012/imcrktussock_2012_09_12_120609_masked_GR0001.jpg,GR_masked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./masked_images/imcrktussock/2014/imcrktussock_2014_01_31_120612_masked_GR0001.jpg,GR_masked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./masked_images/jernort/2014/jernort_2014_04_03_120003_masked_SH0001.jpg,SH_masked,jernort,SH,"Jornada Experimental Range, New Mexico, USA",32.619,-106.788,1328
./masked_images/jernort/2014/jernort_2014_10_08_120007_masked_SH0001.jpg,SH_masked,jernort,SH,"Jornada Experimental Range, New Mexico, USA",32.619,-106.788,1328
./masked_images/jernort/2014/jernort_2014_08_14_120005_masked_SH0001.jpg,SH_masked,jernort,SH,"Jornada Experimental Range, New Mexico, USA",32.619,-106.788,1328
./masked_images/kelloggcorn/2014/kelloggcorn_2014_10_15_090300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_10_13_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_06_16_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kendall/2012/kendall_2012_10_01_100108_masked_GR0001.jpg,GR_masked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./masked_images/kendall/2012/kendall_2012_12_08_120112_masked_GR0001.jpg,GR_masked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./masked_images/kendall/2013/kendall_2013_03_09_120109_masked_GR0001.jpg,GR_masked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./masked_images/konza/2013/konza_2013_03_04_074745_masked_GR0001.jpg,GR_masked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./masked_images/konza/2014/konza_2014_01_29_120106_masked_GR0001.jpg,GR_masked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./masked_images/konza/2014/konza_2014_08_03_120105_masked_GR0001.jpg,GR_masked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./masked_images/merbleue/2013/merbleue_2013_05_01_120103_masked_SH0001.jpg,SH_masked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./masked_images/merbleue/2014/merbleue_2014_06_20_120105_masked_SH0001.jpg,SH_masked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./masked_images/merbleue/2014/merbleue_2014_06_19_120106_masked_SH0001.jpg,SH_masked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./masked_images/niwot2/2010/niwot2_2010_05_03_120139_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2011/niwot2_2011_10_01_120140_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2011/niwot2_2011_01_09_120140_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/dukehw_pairs/2014/dukehw_2014_04_23_120109_masked_DB0001_pair_diff7.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_03_19_120107_masked_DB0001_pair_diff3r.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_03_16_120108_masked_DB0001_pair_diff3.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_10_24_120110_masked_DB0001_pair_diff7r.jpg,DB_pairs_fall,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
